name,smiles,cas,source,D_exp_eV,burcat_hf298_kjmol,D_at_burcat_eV,diff_pct,status,reason,burcat_desc
acetophenone,CC(=O)C1=CC=CC=C1,98-86-2,NIST,80.979,-86.7,80.9792,,ok_<1%,,C8H8O   Acetophe
quinoline,c1ccc2ncccc2c1,91-22-5,NIST,85.488,200.52,85.4873,-0.001,ok_<1%,,C9H7N QUINOLINE
IF,FI,13873-84-2,HH,2.88,-94.76,2.9122,1.116,warn_1-2%,,IF
oxazole,C1=COC=N1,288-42-6,NIST,36.704,-15.468,36.7036,-0.001,ok_<1%,,C3H3ON (Cy) Oxaz
2-chlorotoluene,CC1=CC=CC=C1Cl,95-49-8,NIST,69.047,,,,n/a,not_in_burcat,
DMSO,CS(=O)C,67-68-5,NIST,35.428,,,,n/a,not_in_burcat,
tert-butylbenzene,CC(C)(C)c1ccccc1,98-06-6,NIST,106.149,,,,n/a,not_in_burcat,
Acetyl_chloride,CC(=O)Cl,75-36-5,ATcT_0K,27.6716,-241.459,27.9762,1.101,warn_1-2%,,CH3COCL Acetyl C
isobutyraldehyde,CC(C)C=O,78-84-2,NIST,52.606,,,,n/a,not_in_burcat,
B2,[B]=[B],14452-61-0,HH,3.02,857.371,2.8256,-6.437,fail_>2%,,B2
methylhydrazine,CNN,60-34-4,NIST,31.18,276.31136000000004,27.9184,-10.461,fail_>2%,,CH3-NH-NH2
2-methylthiophene,CC1=CC=CS1,554-14-3,NIST,52.703,,,,n/a,not_in_burcat,
2-methylthiophene,Cc1cccs1,554-14-3,NIST,54.963,,,,n/a,not_in_burcat,
SiS,[Si]#[S],,HH,6.39,,,,n/a,no_cas,
2-phenylethanol,OCCC1=CC=CC=C1,60-12-8,NIST,85.865,,,,n/a,not_in_burcat,
CuCl,[Cu]Cl,7758-89-6,Luo2007,3.83,91.08568,3.8101,-0.521,ok_<1%,,CuCL
cytosine,NC1=NC(=O)NC=C1,71-30-7,NIST,58.898,-69.5,59.0082,0.187,ok_<1%,,C4H5N3O  Cytosine
pyrrolidine,C1CCNC1,123-75-1,NIST,55.66,-3.59,54.9822,-1.218,warn_1-2%,,C4H9N PYRROLIDINE
NO,[N]=O,,ATcT,6.5,,,,n/a,no_cas,
thiophenol,Sc1ccccc1,108-98-5,NIST,59.832,107.654,59.8804,0.081,ok_<1%,,C6H6S  Phenyl-SH
NH,[N][H],,ATcT,3.47,,,,n/a,no_cas,
furfuryl_alcohol,OCC1=CC=CO1,98-00-0,NIST,58.056,-216.990608,58.1098,0.093,ok_<1%,,C5H6O2 Furfuril
isoquinoline,c1ccc2ccncc2c1,119-65-3,NIST,85.445,204.61,85.4449,,ok_<1%,,C9H7N ISOQUINOLI
Methanediol,C(O)O,463-57-0,ATcT_0K,25.2706,,,,n/a,not_in_burcat,
Aziridine,C1CN1,151-56-4,ATcT_0K,29.3328,129.81906,29.7062,1.273,warn_1-2%,,C2H5N Aziridine
cis_1_2_Dichloroethene,C(=C\Cl)\Cl,156-59-2,ATcT_0K,21.6646,,,,n/a,not_in_burcat,
1_2_Dichloroethene,C(=CCl)Cl,540-59-0,ATcT_0K,21.6646,3.41,21.8536,0.872,ok_<1%,,C2H2CL2
MTBE,CC(C)(C)OC,1634-04-4,NIST,69.772,,,,n/a,not_in_burcat,
LiF,[Li]F,7789-24-4,CCCBDB,5.97,-340.944,6.0074,0.626,ok_<1%,,LiF
di-n-propyl_ether,CCCOCCC,111-43-3,NIST,81.818,-292.54528,81.8132,-0.006,ok_<1%,,C6H14O PropylEther
PS,[P]=S,,HH,4.5,,,,n/a,no_cas,
PO,[P]=O,,HH,5.69,,,,n/a,no_cas,
1-bromopropane,CCCBr,106-94-5,NIST,40.161,,,,n/a,not_in_burcat,
1-chloropropane,CCCCl,540-54-5,NIST,40.724,-131.2,40.7163,-0.019,ok_<1%,,C3H7Cl n-C3H7Cl
SiH,[Si][H],13774-94-2,HH,3.06,376.56,3.0205,-1.289,warn_1-2%,,SiH  Radical HF2
propyne,CC#C,74-99-7,NIST,29.4,44.319,30.8618,4.972,fail_>2%,,H4C3 PROPYNE
MTBE,COC(C)(C)C,1634-04-4,NIST,69.775,,,,n/a,not_in_burcat,
C2H6,CC,74-84-0,ATcT,28.89,-83.863,29.2812,1.354,warn_1-2%,,C2H6
2_Chloroethanol,C(CCl)O,107-07-3,ATcT_0K,32.3289,-257.6,32.6623,1.031,warn_1-2%,,ClC2H4OH  ATcT C
propanethiol,CCCS,107-03-9,NIST,43.93,-16.22,43.3995,-1.208,warn_1-2%,,C3H8S PropneThiol
Cl2,ClCl,7782-50-5,ATcT,2.51,,2.5144,0.175,ok_<1%,,CL2  REF ELEMENT
2-pyrrolidone,O=C1CCCN1,616-45-5,NIST,55.445,,,,n/a,not_in_burcat,
Ag2,[Ag][Ag],7230-74-2,HH,1.66,,,,n/a,not_in_burcat,
butanal,CCCC=O,123-72-8,NIST,52.52,-206.6896,52.5113,-0.016,ok_<1%,,C4H8O n-Butanal
VF3,F[V](F)F,,JANAF,17.737,,,,n/a,no_cas,
nicotinic_acid,OC(=O)c1cccnc1,59-67-6,NIST,68.224,,,,n/a,not_in_burcat,
isopropyl_mercaptan,CC(C)S,75-33-2,NIST,44.021,-72.50872,43.9829,-0.087,ok_<1%,,C3H8S Prop2thiol
ClNO,ClN=O,2696-92-6,NIST,8.203,52.524,8.1944,-0.105,ok_<1%,,NOCL
2-hexanone,CCCCC(=O)C,591-78-6,NIST,77.164,,,,n/a,not_in_burcat,
MIBK,CC(C)CC(=O)C,108-10-1,NIST,77.235,,,,n/a,not_in_burcat,
THP,C1CCOCC1,142-68-7,NIST,64.63,-224.28332,64.6403,0.016,ok_<1%,,C5H10O CYCLO   T
N2,N#N,7727-37-9,ATcT,9.759,,,,n/a,not_in_burcat,
pinacol,CC(O)(C)C(O)(C)C,76-09-5,NIST,86.453,,,,n/a,not_in_burcat,
1-butyne,CCC#C,107-00-6,NIST,41.556,165.2,41.5556,-0.001,ok_<1%,,C4H6 1 butyne
PH,[P][H],,HH,2.95,,,,n/a,no_cas,
benzofuran,C1=CC=C2C(=C1)C=CO2,271-89-6,NIST,75.601,,,,n/a,not_in_burcat,
succinimide,O=C1CCC(=O)N1,123-56-8,NIST,54.965,,,,n/a,not_in_burcat,
SO3mol,O=S(=O)=O,7446-11-9,NIST,14.31,-377.338,14.5312,1.546,warn_1-2%,,SO3
thioanisole,CSC1=CC=CC=C1,100-68-5,NIST,72.383,,,,n/a,not_in_burcat,
1PeOH,CCCCCO,71-41-0,NIST,69.89,-297.282,69.9157,0.037,ok_<1%,,C5H11OH  1-penta
isopropylamine,CC(C)N,75-31-0,NIST,48.385,,,,n/a,not_in_burcat,
NaF,[Na]F,7681-49-4,CCCBDB,4.91,,,,n/a,not_in_burcat,
Benzoyl_fluoride,C1=CC=C(C=C1)C(=O)F,455-32-3,ATcT_0K,69.1569,,,,n/a,not_in_burcat,
cyclohexanone,O=C1CCCCC1,108-94-1,NIST,72.555,,,,n/a,not_in_burcat,
butane,CCCC,106-97-8,NIST,53.61,-125.79,53.6091,-0.002,ok_<1%,,C4H10 n-butane
trans_1_2_Dichloroethene,C(=C/Cl)\Cl,,ATcT_0K,21.6457,,,,n/a,no_cas,
1-hexanol,CCCCCCO,111-27-3,NIST,82.056,-317.1,82.0677,0.014,ok_<1%,,C6H14O 1-hexanol
sulfolane,C1CCS(=O)(=O)C1,126-33-0,NIST,60.711,,,,n/a,not_in_burcat,
isobutan,CC(C)C,75-28-5,NIST,53.7,-135.363,53.7083,0.015,ok_<1%,,C4H10 isobutane
fluorobenzene,C1=CC=C(C=C1)F,462-06-6,NIST,57.888,-115.8968,57.888,,ok_<1%,,C6H5F Fluorobenz
H2,[H][H],1333-74-0,ATcT,4.478,,4.5188,0.911,ok_<1%,,H2 REF ELEMENT
