name,smiles,cas,source,D_exp_eV,cccbdb_status,cccbdb_diff_pct,burcat_status,burcat_diff_pct,combined_status,best_diff_pct
"1,1,1-trichloroethane",CC(Cl)(Cl)Cl,71-55-6,NIST,26.902,ok_<1%,0.008,ok_<1%,-0.153,ok_consensus,0.008
"1,1,1-trifluoroacetone",CC(=O)C(F)(F)F,421-50-1,NIST,42.632,n/a,,n/a,,n/a,
"1,1,2-trichloroethane",ClCC(Cl)Cl,79-00-5,NIST,26.877,ok_<1%,0.232,n/a,,ok_one_source,0.232
"1,1,2-trifluoroethane",FCC(F)F,430-66-0,NIST,30.979,ok_<1%,0.919,n/a,,ok_one_source,0.919
"1,1-dichloroethane",CC(Cl)Cl,75-34-3,NIST,27.731,ok_<1%,0.18,ok_<1%,0.18,ok_consensus,0.18
"1,2,3-trimethylbenzene",Cc1cccc(C)c1C,526-73-8,NIST,94.062,n/a,,n/a,,n/a,
"1,2,4-triazole",C1=NNC=N1,288-88-0,NIST,35.201,fail_>2%,-2.464,fail_>2%,-2.532,conflict,-2.464
"1,2,4-trimethylbenzene",Cc1ccc(C)c(C)c1,95-63-6,NIST,94.107,n/a,,ok_<1%,0.001,ok_one_source,0.001
"1,2-dibromoethane",BrCCBr,106-93-4,NIST,26.616,n/a,,ok_<1%,-0.057,ok_one_source,-0.057
"1,2-dichlorobenzene",C1=CC=C(C(=C1)Cl)Cl,95-50-1,NIST,55.806,ok_<1%,-0.052,ok_<1%,0.069,ok_consensus,-0.052
"1,2-dichloroethane",C(CCl)Cl,107-06-2,NIST,27.753,ok_<1%,0.082,ok_<1%,-0.164,ok_consensus,0.082
"1,2-dichloroethane",ClCCCl,107-06-2,NIST,27.753,ok_<1%,0.082,ok_<1%,-0.164,ok_consensus,0.082
"1,2-dichloropropane",CC(CCl)Cl,78-87-5,NIST,40.05,ok_<1%,-0.021,n/a,,ok_one_source,-0.021
"1,2-difluoroethane",FCCF,624-72-6,NIST,30.161,n/a,,ok_<1%,-0.869,ok_one_source,-0.869
"1,2-epoxybutane",CCC1CO1,106-88-7,NIST,51.323,n/a,,ok_<1%,0.483,ok_one_source,0.483
"1,2-propanediol",CC(O)CO,57-55-6,NIST,49.89,ok_<1%,0.177,n/a,,ok_one_source,0.177
"1,3,5-triazine",C1=NC=NC=N1,6294-83-3,NIST,41.417,n/a,,n/a,,n/a,
"1,3,5-trimethylbenzene",Cc1cc(C)cc(C)c1,108-67-8,NIST,94.131,n/a,,ok_<1%,0.011,ok_one_source,0.011
"1,3-butanediol",CC(O)CCO,107-88-0,NIST,61.959,ok_<1%,-0.001,n/a,,ok_one_source,-0.001
"1,3-cyclohexadiene",C1CC=CC=C1,592-57-4,NIST,61.544,ok_<1%,-0.004,ok_<1%,-0.054,ok_consensus,-0.004
"1,3-dioxane",C1COCOC1,505-22-6,NIST,56.887,ok_<1%,-0.752,n/a,,ok_one_source,-0.752
"1,3-dioxolane",C1COCO1,646-06-0,NIST,44.462,ok_<1%,-0.829,n/a,,ok_one_source,-0.829
"1,3-dioxolane",C1OCOC1,646-06-0,NIST,44.529,ok_<1%,-0.978,n/a,,ok_one_source,-0.978
"1,3-propanediol",OCCCO,504-63-2,NIST,49.757,ok_<1%,-0.342,ok_<1%,-0.01,ok_consensus,-0.01
"1,4-butanediol",OCCCCO,110-63-4,NIST,61.893,ok_<1%,0.001,warn_1-2%,1.092,ok_consensus,0.001
"1,4-cyclohexadiene",C1C=CCC=C1,628-41-1,NIST,61.565,ok_<1%,-0.085,ok_<1%,-0.085,ok_consensus,-0.085
"1,4-dioxane",C1COCCO1,123-91-1,NIST,56.22,ok_<1%,-0.001,ok_<1%,0.049,ok_consensus,-0.001
"1,4-pentadiene",C=CCC=C,591-93-5,NIST,54.127,ok_<1%,-0.015,n/a,,ok_one_source,-0.015
1-PrOH,CCCO,71-23-8,NIST,45.59,ok_<1%,-0.008,ok_<1%,-0.008,ok_consensus,-0.008
1-amino-2-propanol,CC(O)CN,78-96-6,NIST,52.463,n/a,,n/a,,n/a,
1-bromobutane,CCCCBr,109-65-9,NIST,52.316,n/a,,n/a,,n/a,
1-bromopropane,CCCBr,106-94-5,NIST,40.161,ok_<1%,-0.106,n/a,,ok_one_source,-0.106
1-butanol,CCCCO,71-36-3,NIST,57.734,ok_<1%,-0.0,ok_<1%,0.025,ok_consensus,-0.0
1-butyne,CCC#C,107-00-6,NIST,41.556,ok_<1%,-0.001,ok_<1%,-0.001,ok_consensus,-0.001
1-chlorobutane,CCCCCl,109-69-3,NIST,52.906,n/a,,n/a,,n/a,
1-chloropropane,CCCCl,540-54-5,NIST,40.724,ok_<1%,-0.001,ok_<1%,-0.019,ok_consensus,-0.001
1-fluorobutane,CCCCF,2366-52-1,NIST,53.844,n/a,,n/a,,n/a,
1-heptene,CCCCCC=C,25339-56-4,NIST,84.273,n/a,,n/a,,n/a,
1-hexanol,CCCCCCO,111-27-3,NIST,82.056,n/a,,ok_<1%,0.014,ok_one_source,0.014
1-hexene,CCCCC=C,592-41-6,NIST,72.112,ok_<1%,0.006,ok_<1%,-0.033,ok_consensus,0.006
1-iodopropane,CCCI,107-08-4,NIST,39.517,n/a,,n/a,,n/a,
1-methylcyclohexene,CC1=CCCCC1,591-49-1,NIST,79.471,n/a,,n/a,,n/a,
1-methylimidazole,CN1C=CN=C1,616-47-7,NIST,51.755,n/a,,n/a,,n/a,
1-pentene,CCCC=C,109-67-1,NIST,59.954,ok_<1%,0.017,ok_<1%,-0.0,ok_consensus,-0.0
