name,smiles,cas,source,D_exp_eV,hfg_0K_kjmol,hfg_298K_kjmol,D_at_0K_eV,D_at_298K_eV,diff_0K_pct,diff_298K_pct,best_convention,best_diff_pct,status,reason
acetophenone,CC(=O)C1=CC=CC=C1,98-86-2,NIST,80.979,,,,,,,,,n/a,no_hfg_data
quinoline,c1ccc2ncccc2c1,91-22-5,NIST,85.488,,,,,,,,,n/a,cccbdb_defaulted
IF,FI,13873-84-2,HH,2.88,,-94.76,,2.9122,,1.116,298K,1.116,warn_1-2%,
oxazole,C1=COC=N1,288-42-6,NIST,36.704,-2.9,-15.5,36.2957,36.704,-1.112,,298K,,ok_<1%,
2-chlorotoluene,CC1=CC=CC=C1Cl,95-49-8,NIST,69.047,,,,,,,,,n/a,cccbdb_defaulted
DMSO,CS(=O)C,67-68-5,NIST,35.428,1.5,-150.5,33.5683,35.4271,-5.249,-0.002,298K,-0.002,ok_<1%,
tert-butylbenzene,CC(C)(C)c1ccccc1,98-06-6,NIST,106.149,,,,,,,,,n/a,cccbdb_defaulted
Acetyl_chloride,CC(=O)Cl,75-36-5,ATcT_0K,27.6716,-233.8,-242.8,27.6803,27.9901,0.032,1.151,0K,0.032,ok_<1%,
isobutyraldehyde,CC(C)C=O,78-84-2,NIST,52.606,1.55,-215.77,49.9384,52.6054,-5.071,-0.001,298K,-0.001,ok_<1%,
B2,[B]=[B],14452-61-0,HH,3.02,829.81,836.17,3.0076,3.0453,-0.41,0.839,0K,-0.41,ok_<1%,
methylhydrazine,CNN,60-34-4,NIST,31.18,,,,,,,,,n/a,cccbdb_defaulted
2-methylthiophene,CC1=CC=CS1,554-14-3,NIST,52.703,0.92,84.35,53.1288,52.6941,0.808,-0.017,298K,-0.017,ok_<1%,
2-methylthiophene,Cc1cccs1,554-14-3,NIST,54.963,0.92,84.35,53.1288,52.6941,-3.337,-4.128,0K,-3.337,fail_>2%,
SiS,[Si]#[S],,HH,6.39,,,,,,,,,n/a,no_cas
2-phenylethanol,OCCC1=CC=CC=C1,60-12-8,NIST,85.865,,,,,,,,,n/a,cccbdb_defaulted
CuCl,[Cu]Cl,7758-89-6,Luo2007,3.83,91.21,91.09,3.7914,3.81,-1.009,-0.522,298K,-0.522,ok_<1%,
cytosine,NC1=NC(=O)NC=C1,71-30-7,NIST,58.898,,,,,,,,,n/a,cccbdb_defaulted
pyrrolidine,C1CCNC1,123-75-1,NIST,55.66,0.92,-3.6,54.503,54.9823,-2.079,-1.218,298K,-1.218,warn_1-2%,
NO,[N]=O,,ATcT,6.5,,,,,,,,,n/a,no_cas
thiophenol,Sc1ccccc1,108-98-5,NIST,59.832,0.88,112.4,60.5002,59.8312,1.117,-0.001,298K,-0.001,ok_<1%,
NH,[N][H],,ATcT,3.47,,,,,,,,,n/a,no_cas
furfuryl_alcohol,OCC1=CC=CO1,98-00-0,NIST,58.056,,,,,,,,,n/a,cccbdb_defaulted
isoquinoline,c1ccc2ccncc2c1,119-65-3,NIST,85.445,,,,,,,,,n/a,cccbdb_defaulted
Methanediol,C(O)O,463-57-0,ATcT_0K,25.2706,,,,,,,,,n/a,no_hfg_data
Aziridine,C1CN1,151-56-4,ATcT_0K,29.3328,142.5,126.0,29.3375,29.7458,0.016,1.408,0K,0.016,ok_<1%,
cis_1_2_Dichloroethene,C(=C\Cl)\Cl,156-59-2,ATcT_0K,21.6646,2.0,-3.0,21.6788,21.92,0.066,1.179,0K,0.066,ok_<1%,
1_2_Dichloroethene,C(=CCl)Cl,540-59-0,ATcT_0K,21.6646,,,,,,,,,n/a,cccbdb_defaulted
MTBE,CC(C)(C)OC,1634-04-4,NIST,69.772,1.28,-283.17,66.2683,69.7694,-5.022,-0.004,298K,-0.004,ok_<1%,
LiF,[Li]F,7789-24-4,CCCBDB,5.97,-340.57,-340.79,5.9814,6.0058,0.192,0.599,0K,0.192,ok_<1%,
di-n-propyl_ether,CCCOCCC,111-43-3,NIST,81.818,2.0,-293.0,78.1099,81.8179,-4.532,,298K,,ok_<1%,
PS,[P]=S,,HH,4.5,,,,,,,,,n/a,no_cas
PO,[P]=O,,HH,5.69,,,,,,,,,n/a,no_cas
1-bromopropane,CCCBr,106-94-5,NIST,40.161,,-82.93,,40.1183,,-0.106,298K,-0.106,ok_<1%,
1-chloropropane,CCCCl,540-54-5,NIST,40.724,-111.2,-131.9,40.1784,40.7236,-1.34,-0.001,298K,-0.001,ok_<1%,
SiH,[Si][H],13774-94-2,HH,3.06,366.94,368.64,3.0584,3.1026,-0.051,1.393,0K,-0.051,ok_<1%,
propyne,CC#C,74-99-7,NIST,29.4,191.6,185.4,29.0832,29.3996,-1.077,-0.001,298K,-0.001,ok_<1%,
MTBE,COC(C)(C)C,1634-04-4,NIST,69.775,1.28,-283.17,66.2683,69.7694,-5.026,-0.008,298K,-0.008,ok_<1%,
C2H6,CC,74-84-0,ATcT,28.89,-68.38,-84.0,28.8848,29.2827,-0.018,1.359,0K,-0.018,ok_<1%,
2_Chloroethanol,C(CCl)O,107-07-3,ATcT_0K,32.3289,,,,,,,,,n/a,no_hfg_data
propanethiol,CCCS,107-03-9,NIST,43.93,0.63,-68.58,42.868,43.9422,-2.418,0.028,298K,0.028,ok_<1%,
Cl2,ClCl,7782-50-5,ATcT,2.51,,,2.4796,2.5144,-1.212,0.175,298K,0.175,ok_<1%,
2-pyrrolidone,O=C1CCCN1,616-45-5,NIST,55.445,3.05,-197.38,52.5612,55.0544,-5.201,-0.704,298K,-0.704,ok_<1%,
Ag2,[Ag][Ag],7230-74-2,HH,1.66,,,,,,,,,n/a,cccbdb_defaulted
butanal,CCCC=O,123-72-8,NIST,52.52,-185.66,-206.06,51.8787,52.5048,-1.221,-0.029,298K,-0.029,ok_<1%,
VF3,F[V](F)F,,JANAF,17.737,,,,,,,,,n/a,no_cas
nicotinic_acid,OC(=O)c1cccnc1,59-67-6,NIST,68.224,,,,,,,,,n/a,cccbdb_defaulted
isopropyl_mercaptan,CC(C)S,75-33-2,NIST,44.021,-52.9,-76.94,43.4228,44.0288,-1.359,0.018,298K,0.018,ok_<1%,
ClNO,ClN=O,2696-92-6,NIST,8.203,54.6,52.7,8.1096,8.1926,-1.139,-0.127,298K,-0.127,ok_<1%,
2-hexanone,CCCCC(=O)C,591-78-6,NIST,77.164,,,,,,,,,n/a,cccbdb_defaulted
MIBK,CC(C)CC(=O)C,108-10-1,NIST,77.235,,,,,,,,,n/a,cccbdb_defaulted
THP,C1CCOCC1,142-68-7,NIST,64.63,1.0,-223.84,61.7932,64.6357,-4.389,0.009,298K,0.009,ok_<1%,
N2,N#N,7727-37-9,ATcT,9.759,,,9.7546,9.798,-0.045,0.399,0K,-0.045,ok_<1%,
pinacol,CC(O)(C)C(O)(C)C,76-09-5,NIST,86.453,,,,,,,,,n/a,cccbdb_defaulted
1-butyne,CCC#C,107-00-6,NIST,41.556,178.9,165.2,41.0639,41.5556,-1.184,-0.001,298K,-0.001,ok_<1%,
PH,[P][H],,HH,2.95,,,,,,,,,n/a,no_cas
benzofuran,C1=CC=C2C(=C1)C=CO2,271-89-6,NIST,75.601,,,,,,,,,n/a,cccbdb_defaulted
succinimide,O=C1CCC(=O)N1,123-56-8,NIST,54.965,,,,,,,,,n/a,cccbdb_defaulted
